CODMUN6,CODMUN7,MUNI,UF
110001,1100015,Alta Floresta D'Oeste,RO
110002,1100023,Ariquemes,RO
110003,1100031,Cabixi,RO
110004,1100049,Cacoal,RO
110005,1100056,Cerejeiras,RO
110006,1100064,Colorado do Oeste,RO
110007,1100072,Corumbiara,RO
110008,1100080,Costa Marques,RO
110009,1100098,Espigão D'Oeste,RO
110010,1100106,Guajará-Mirim,RO
110011,1100114,Jaru,RO
110012,1100122,Ji-Paraná,RO
110013,1100130,Machadinho D'Oeste,RO
110014,1100148,Nova Brasilândia D'Oeste,RO
110015,1100155,Ouro Preto do Oeste,RO
110018,1100189,Pimenta Bueno,RO
110020,1100205,Porto Velho,RO
110025,1100254,Presidente Médici,RO
110026,1100262,Rio Crespo,RO
110028,1100288,Rolim de Moura,RO
110029,1100296,Santa Luzia D'Oeste,RO
110030,1100304,Vilhena,RO
110032,1100320,São Miguel do Guaporé,RO
110033,1100338,Nova Mamoré,RO
110034,1100346,Alvorada D'Oeste,RO
110037,1100379,Alto Alegre dos Parecis,RO
110040,1100403,Alto Paraíso,RO
110045,1100452,Buritis,RO
110050,1100502,Novo Horizonte do Oeste,RO
110060,1100601,Cacaulândia,RO
110070,1100700,Campo Novo de Rondônia,RO
110080,1100809,Candeias do Jamari,RO
110090,1100908,Castanheiras,RO
110092,1100924,Chupinguaia,RO
110094,1100940,Cujubim,RO
110100,1101005,Governador Jorge Teixeira,RO
110110,1101104,Itapuã do Oeste,RO
110120,1101203,Ministro Andreazza,RO
110130,1101302,Mirante da Serra,RO
110140,1101401,Monte Negro,RO
110143,1101435,Nova União,RO
110145,1101450,Parecis,RO
110146,1101468,Pimenteiras do Oeste,RO
110147,1101476,Primavera de Rondônia,RO
110148,1101484,São Felipe D'Oeste,RO
110149,1101492,São Francisco do Guaporé,RO
110150,1101500,Seringueiras,RO
110155,1101559,Teixeirópolis,RO
110160,1101609,Theobroma,RO
110170,1101708,Urupá,RO
110175,1101757,Vale do Anari,RO
110180,1101807,Vale do Paraíso,RO
120001,1200013,Acrelândia,AC
120005,1200054,Assis Brasil,AC
120010,1200104,Brasiléia,AC
120013,1200138,Bujari,AC
120017,1200179,Capixaba,AC
120020,1200203,Cruzeiro do Sul,AC
120025,1200252,Epitaciolândia,AC
120030,1200302,Feijó,AC
120032,1200328,Jordão,AC
120033,1200336,Mâncio Lima,AC
120034,1200344,Manoel Urbano,AC
120035,1200351,Marechal Thaumaturgo,AC
120038,1200385,Plácido de Castro,AC
120039,1200393,Porto Walter,AC
120040,1200401,Rio Branco,AC
120042,1200427,Rodrigues Alves,AC
120043,1200435,Santa Rosa do Purus,AC
120045,1200450,Senador Guiomard,AC
120050,1200500,Sena Madureira,AC
120060,1200609,Tarauacá,AC
120070,1200708,Xapuri,AC
120080,1200807,Porto Acre,AC
130002,1300029,Alvarães,AM
130006,1300060,Amaturá,AM
130008,1300086,Anamã,AM
130010,1300102,Anori,AM
130014,1300144,Apuí,AM
130020,1300201,Atalaia do Norte,AM
130030,1300300,Autazes,AM
130040,1300409,Barcelos,AM
130050,1300508,Barreirinha,AM
130060,1300607,Benjamin Constant,AM
130063,1300631,Beruri,AM
130068,1300680,Boa Vista do Ramos,AM
130070,1300706,Boca do Acre,AM
130080,1300805,Borba,AM
130083,1300839,Caapiranga,AM
130090,1300904,Canutama,AM
130100,1301001,Carauari,AM
130110,1301100,Careiro,AM
130115,1301159,Careiro da Várzea,AM
130120,1301209,Coari,AM
130130,1301308,Codajás,AM
130140,1301407,Eirunepé,AM
130150,1301506,Envira,AM
130160,1301605,Fonte Boa,AM
130165,1301654,Guajará,AM
130170,1301704,Humaitá,AM
130180,1301803,Ipixuna,AM
130185,1301852,Iranduba,AM
130190,1301902,Itacoatiara,AM
130195,1301951,Itamarati,AM
130200,1302009,Itapiranga,AM
130210,1302108,Japurá,AM
130220,1302207,Juruá,AM
130230,1302306,Jutaí,AM
130240,1302405,Lábrea,AM
130250,1302504,Manacapuru,AM
130255,1302553,Manaquiri,AM
130260,1302603,Manaus,AM
130270,1302702,Manicoré,AM
130280,1302801,Maraã,AM
130290,1302900,Maués,AM
130300,1303007,Nhamundá,AM
130310,1303106,Nova Olinda do Norte,AM
130320,1303205,Novo Airão,AM
130330,1303304,Novo Aripuanã,AM
130340,1303403,Parintins,AM
130350,1303502,Pauini,AM
130353,1303536,Presidente Figueiredo,AM
130356,1303569,Rio Preto da Eva,AM
130360,1303601,Santa Isabel do Rio Negro,AM
130370,1303700,Santo Antônio do Içá,AM
130380,1303809,São Gabriel da Cachoeira,AM
130390,1303908,São Paulo de Olivença,AM
130395,1303957,São Sebastião do Uatumã,AM
130400,1304005,Silves,AM
130406,1304062,Tabatinga,AM
130410,1304104,Tapauá,AM
130420,1304203,Tefé,AM
130423,1304237,Tonantins,AM
130426,1304260,Uarini,AM
130430,1304302,Urucará,AM
130440,1304401,Urucurituba,AM
140002,1400027,Amajari,RR
140005,1400050,Alto Alegre,RR
140010,1400100,Boa Vista,RR
140015,1400159,Bonfim,RR
140017,1400175,Cantá,RR
140020,1400209,Caracaraí,RR
140023,1400233,Caroebe,RR
140028,1400282,Iracema,RR
140030,1400308,Mucajaí,RR
140040,1400407,Normandia,RR
140045,1400456,Pacaraima,RR
140047,1400472,Rorainópolis,RR
140050,1400506,São João da Baliza,RR
140060,1400605,São Luiz,RR
140070,1400704,Uiramutã,RR
150010,1500107,Abaetetuba,PA
150013,1500131,Abel Figueiredo,PA
150020,1500206,Acará,PA
150030,1500305,Afuá,PA
150034,1500347,Água Azul do Norte,PA
150040,1500404,Alenquer,PA
150050,1500503,Almeirim,PA
150060,1500602,Altamira,PA
150070,1500701,Anajás,PA
150080,1500800,Ananindeua,PA
150085,1500859,Anapu,PA
150090,1500909,Augusto Corrêa,PA
150095,1500958,Aurora do Pará,PA
150100,1501006,Aveiro,PA
150110,1501105,Bagre,PA
150120,1501204,Baião,PA
150125,1501253,Bannach,PA
150130,1501303,Barcarena,PA
150140,1501402,Belém,PA
150145,1501451,Belterra,PA
150150,1501501,Benevides,PA
150157,1501576,Bom Jesus do Tocantins,PA
150160,1501600,Bonito,PA
150170,1501709,Bragança,PA
150172,1501725,Brasil Novo,PA
150175,1501758,Brejo Grande do Araguaia,PA
150178,1501782,Breu Branco,PA
150180,1501808,Breves,PA
150190,1501907,Bujaru,PA
150195,1501956,Cachoeira do Piriá,PA
150200,1502004,Cachoeira do Arari,PA
150210,1502103,Cametá,PA
150215,1502152,Canaã dos Carajás,PA
150220,1502202,Capanema,PA
150230,1502301,Capitão Poço,PA
150240,1502400,Castanhal,PA
150250,1502509,Chaves,PA
150260,1502608,Colares,PA
150270,1502707,Conceição do Araguaia,PA
150275,1502756,Concórdia do Pará,PA
150276,1502764,Cumaru do Norte,PA
150277,1502772,Curionópolis,PA
150280,1502806,Curralinho,PA
150285,1502855,Curuá,PA
150290,1502905,Curuçá,PA
150293,1502939,Dom Eliseu,PA
150295,1502954,Eldorado do Carajás,PA
150300,1503002,Faro,PA
150304,1503044,Floresta do Araguaia,PA
150307,1503077,Garrafão do Norte,PA
150309,1503093,Goianésia do Pará,PA
150310,1503101,Gurupá,PA
150320,1503200,Igarapé-Açu,PA
150330,1503309,Igarapé-Miri,PA
150340,1503408,Inhangapi,PA
150345,1503457,Ipixuna do Pará,PA
150350,1503507,Irituia,PA
150360,1503606,Itaituba,PA
150370,1503705,Itupiranga,PA
150375,1503754,Jacareacanga,PA
150380,1503804,Jacundá,PA
150390,1503903,Juruti,PA
150400,1504000,Limoeiro do Ajuru,PA
150405,1504059,Mãe do Rio,PA
150410,1504109,Magalhães Barata,PA
150420,1504208,Marabá,PA
150430,1504307,Maracanã,PA
150440,1504406,Marapanim,PA
150442,1504422,Marituba,PA
150445,1504455,Medicilândia,PA
150450,1504505,Melgaço,PA
150460,1504604,Mocajuba,PA
150470,1504703,Moju,PA
150475,1504752,Mojuí dos Campos,PA
150480,1504802,Monte Alegre,PA
150490,1504901,Muaná,PA
150495,1504950,Nova Esperança do Piriá,PA
150497,1504976,Nova Ipixuna,PA
150500,1505007,Nova Timboteua,PA
150503,1505031,Novo Progresso,PA
150506,1505064,Novo Repartimento,PA
150510,1505106,Óbidos,PA
150520,1505205,Oeiras do Pará,PA
150530,1505304,Oriximiná,PA
150540,1505403,Ourém,PA
150543,1505437,Ourilândia do Norte,PA
150548,1505486,Pacajá,PA
150549,1505494,Palestina do Pará,PA
150550,1505502,Paragominas,PA
150553,1505536,Parauapebas,PA
150555,1505551,Pau D'Arco,PA
150560,1505601,Peixe-Boi,PA
150563,1505635,Piçarra,PA
150565,1505650,Placas,PA
150570,1505700,Ponta de Pedras,PA
150580,1505809,Portel,PA
150590,1505908,Porto de Moz,PA
150600,1506005,Prainha,PA
150610,1506104,Primavera,PA
150611,1506112,Quatipuru,PA
150613,1506138,Redenção,PA
150616,1506161,Rio Maria,PA
150618,1506187,Rondon do Pará,PA
150619,1506195,Rurópolis,PA
150620,1506203,Salinópolis,PA
150630,1506302,Salvaterra,PA
150635,1506351,Santa Bárbara do Pará,PA
150640,1506401,Santa Cruz do Arari,PA
150650,1506500,Santa Izabel do Pará,PA
150655,1506559,Santa Luzia do Pará,PA
150658,1506583,Santa Maria das Barreiras,PA
150660,1506609,Santa Maria do Pará,PA
150670,1506708,Santana do Araguaia,PA
150680,1506807,Santarém,PA
150690,1506906,Santarém Novo,PA
150700,1507003,Santo Antônio do Tauá,PA
150710,1507102,São Caetano de Odivelas,PA
150715,1507151,São Domingos do Araguaia,PA
150720,1507201,São Domingos do Capim,PA
150730,1507300,São Félix do Xingu,PA
150740,1507409,São Francisco do Pará,PA
150745,1507458,São Geraldo do Araguaia,PA
150746,1507466,São João da Ponta,PA
150747,1507474,São João de Pirabas,PA
150750,1507508,São João do Araguaia,PA
150760,1507607,São Miguel do Guamá,PA
150770,1507706,São Sebastião da Boa Vista,PA
150775,1507755,Sapucaia,PA
